x_value,total_1,total_2
154,1164,1179
155,1161,1183
156,1161,1185
157,1164,1188
158,1162,1189
159,1162,1189
160,1163,1192
161,1158,1189
162,1157,1186
163,1158,1188
164,1157,1194
165,1151,1196
166,1147,1195
167,1141,1191
168,1143,1197
169,1148,1198
170,1155,1198
171,1150,1199
172,1148,1194
173,1154,1200
174,1154,1204
175,1158,1209
176,1164,1207
177,1171,1202
178,1174,1199
179,1179,1198
180,1177,1199
181,1183,1203
182,1178,1205
183,1181,1202
184,1188,1207
185,1187,1204
186,1184,1201
187,1184,1201
188,1183,1197
189,1191,1198
190,1197,1195
191,1197,1190
192,1200,1196
193,1205,1192
194,1208,1187
195,1210,1190
196,1209,1192
197,1212,1197
198,1219,1200
199,1225,1200
200,1222,1201
201,1225,1205
202,1229,1203
203,1226,1204
204,1232,1206
205,1230,1208
206,1228,1209
207,1226,1211
208,1222,1215
209,1229,1210
210,1233,1211
211,1228,1209
212,1232,1205
213,1230,1200
214,1233,1201
215,1238,1205
216,1246,1201
217,1247,1206
218,1242,1210
219,1241,1207
220,1248,1205
221,1252,1205
222,1254,1208
223,1252,1205
224,1247,1206
225,1243,1206
226,1241,1208
227,1239,1208
228,1246,1209
229,1249,1213
230,1253,1210
231,1261,1216
232,1265,1217
233,1267,1214
234,1264,1218
235,1263,1222
236,1265,1218
237,1267,1222
238,1271,1223
239,1275,1226
240,1274,1227
241,1281,1227
242,1282,1222
243,1284,1218
244,1283,1223
245,1288,1218
246,1286,1215
247,1293,1219
248,1300,1220
249,1295,1222
250,1294,1221
251,1296,1222
252,1294,1227
253,1292,1223
254,1300,1227
255,1301,1233
256,1296,1233
257,1303,1236
258,1297,1238
259,1301,1242
260,1309,1243
261,1317,1247
262,1324,1248
263,1328,1246
264,1333,1244
265,1338,1244
266,1332,1239
267,1329,1242
268,1325,1239
269,1324,1241
270,1320,1245
271,1323,1251
272,1317,1251
273,1321,1248
274,1327,1252
275,1327,1258
276,1333,1263
277,1337,1268
278,1340,1271
279,1340,1277
280,1343,1273
281,1340,1278
282,1343,1284
283,1341,1284
284,1346,1289
285,1352,1286
286,1357,1284
287,1360,1284
288,1364,1281
289,1368,1279
290,1367,1279
291,1373,1276
292,1377,1282
293,1382,1280
294,1388,1279
295,1382,1276
296,1388,1271
297,1396,1266
298,1393,1271
299,1395,1270
300,1396,1275
301,1397,1270
302,1393,1275
303,1401,1281
304,1398,1280
305,1399,1285
306,1404,1281
307,1405,1281
308,1400,1278
309,1394,1273
310,1402,1272
311,1404,1275
312,1411,1273
313,1419,1274
314,1414,1272
315,1417,1275
316,1411,1279
317,1415,1275
318,1417,1281
319,1421,1283
320,1419,1285
321,1418,1287
322,1417,1285
323,1420,1286
324,1425,1285
325,1423,1280
326,1421,1275
327,1417,1273
328,1421,1276
329,1418,1276
330,1415,1274
331,1422,1277
332,1417,1282
333,1417,1280
334,1413,1284
335,1420,1286
336,1414,1289
337,1408,1294
338,1412,1298
339,1408,1297
340,1415,1298
341,1417,1298
342,1412,1297
343,1407,1292
344,1401,1292
345,1402,1292
346,1402,1289
347,1408,1287
348,1406,1288
349,1408,1293
350,1416,1292
351,1416,1298
352,1410,1293
353,1412,1295
354,1416,1300
355,1420,1297
356,1424,1295
357,1428,1298
358,1431,1299
359,1428,1302
360,1428,1297
361,1422,1300
362,1425,1298
363,1432,1296
364,1430,1300
365,1428,1304
366,1430,1307
367,1427,1303
368,1427,1308
369,1434,1303
370,1430,1308
371,1431,1314
372,1428,1317
373,1432,1319
374,1436,1315
375,1437,1311
376,1441,1307
377,1448,1307
378,1444,1309
379,1451,1307
380,1445,1313
381,1441,1312
382,1448,1314
383,1448,1312
384,1448,1310
385,1456,1316
386,1456,1317
387,1456,1312
388,1456,1316
389,1456,1313
390,1463,1316
391,1464,1311
392,1459,1309
393,1454,1305
394,1449,1308
395,1450,1309
396,1449,1315
397,1448,1313
398,1455,1316
399,1462,1317
400,1469,1312
401,1468,1311
402,1467,1314
403,1464,1312
404,1470,1318
405,1476,1314
406,1472,1315
407,1474,1314
408,1471,1317
409,1475,1320
410,1474,1326
411,1471,1326
412,1470,1329
413,1477,1324
414,1482,1324
415,1488,1327
416,1493,1330
417,1498,1336
418,1500,1339
419,1508,1343
420,1509,1347
421,1506,1351
422,1502,1349
423,1498,1349
424,1495,1346
425,1495,1342
426,1490,1347
427,1491,1348
428,1495,1343
429,1498,1343
430,1494,1347
431,1502,1350
432,1499,1349
433,1493,1348
434,1497,1347
435,1496,1345
436,1493,1346
437,1498,1344
438,1499,1340
439,1505,1337
440,1499,1335
441,1505,1331
442,1510,1326
443,1517,1326
444,1523,1326
445,1520,1323
446,1520,1321
447,1525,1325
448,1522,1329
449,1523,1330
450,1527,1327
451,1534,1330
452,1538,1330
453,1532,1336
454,1531,1331
455,1533,1331
456,1533,1336
457,1541,1331
458,1541,1327
459,1546,1333
460,1551,1337
461,1552,1336
462,1556,1334
463,1561,1335
464,1558,1338
465,1560,1338
466,1562,1341
467,1560,1336
468,1564,1340
469,1564,1337
470,1571,1333
471,1574,1337
472,1568,1336
473,1576,1333
474,1580,1330
475,1575,1327
476,1575,1324
477,1583,1322
478,1589,1320
479,1592,1319
480,1593,1321
481,1590,1323
482,1598,1326
483,1596,1326
484,1596,1321
485,1602,1320
486,1602,1316
487,1596,1315
488,1590,1311
489,1597,1311
490,1605,1316
491,1600,1313
492,1604,1315
493,1601,1318
494,1600,1318
495,1595,1317
496,1601,1320
497,1606,1315
498,1603,1316
499,1604,1317
500,1601,1322
501,1604,1320
502,1604,1319
503,1610,1322
504,1615,1322
505,1611,1325
506,1606,1324
507,1611,1319
508,1619,1315
509,1614,1312
510,1609,1310
511,1615,1309
512,1621,1307
513,1620,1304
514,1619,1300
515,1619,1297
516,1622,1301
517,1618,1307
518,1622,1307
519,1621,1309
520,1615,1309
521,1616,1306
522,1619,1307
523,1618,1311
524,1620,1308
525,1621,1304
526,1625,1303
527,1624,1308
528,1628,1304
529,1625,1310
530,1621,1309
531,1616,1310
532,1610,1308
533,1613,1305
534,1621,1303
535,1620,1303
536,1621,1307
537,1616,1312
538,1613,1316
539,1617,1317
540,1625,1314
541,1631,1317
542,1633,1314
543,1627,1320
544,1632,1315
545,1627,1315
546,1635,1315
547,1636,1317
548,1636,1319
549,1634,1314
550,1642,1311
551,1641,1311
552,1638,1312
553,1637,1318
554,1642,1323
555,1636,1325
556,1644,1328
557,1649,1325
558,1654,1330
559,1654,1329
560,1653,1334
561,1658,1333
562,1659,1336
563,1663,1333
564,1657,1337
565,1655,1336
566,1654,1331
567,1659,1335
568,1658,1339
569,1662,1340
570,1666,1345
571,1661,1342
572,1662,1344
573,1667,1341
574,1670,1343
575,1676,1340
576,1679,1339
577,1681,1343
578,1679,1340
579,1678,1343
580,1681,1344
581,1683,1345
582,1689,1342
583,1688,1347
584,1694,1350
585,1701,1351
586,1698,1353
587,1694,1353
588,1701,1352
589,1697,1357
590,1696,1361
591,1695,1364
592,1700,1364
593,1702,1367
594,1696,1366
595,1697,1366
596,1702,1366
597,1701,1364
598,1703,1369
599,1710,1369
600,1711,1373
601,1705,1369
602,1704,1364
603,1702,1369
604,1702,1369
605,1701,1369
606,1707,1369
607,1701,1365
608,1704,1371
609,1708,1373
610,1710,1372
611,1705,1371
612,1703,1374
613,1697,1378
614,1695,1381
615,1699,1386
616,1694,1389
617,1695,1391
618,1695,1390
619,1701,1396
620,1698,1402
621,1704,1399
622,1709,1400
623,1704,1401
624,1702,1398
625,1705,1400
626,1705,1399
627,1708,1395
628,1715,1398
629,1719,1397
630,1726,1398
631,1729,1399
632,1732,1402
633,1733,1399
634,1738,1402
635,1740,1405
636,1734,1404
637,1739,1404
638,1740,1408
639,1744,1408
640,1741,1405
641,1743,1402
642,1748,1406
643,1749,1405
644,1752,1407
645,1757,1412
646,1755,1412
647,1763,1414
648,1760,1419
649,1759,1418
650,1761,1424
651,1756,1428
652,1758,1427
653,1765,1425
654,1761,1420
655,1757,1423
656,1755,1421
657,1750,1425
658,1748,1421
659,1751,1417
660,1750,1420
661,1746,1424
662,1740,1419
663,1741,1416
664,1743,1411
665,1739,1413
666,1743,1408
667,1746,1404
668,1749,1403
669,1747,1407
670,1754,1410
671,1751,1413
672,1759,1412
673,1754,1409
674,1758,1408
675,1764,1413
676,1765,1410
677,1763,1406
678,1769,1409
679,1764,1412
680,1763,1417
681,1770,1418
682,1765,1420
683,1769,1425
684,1770,1426
685,1775,1422
686,1774,1421
687,1781,1418
688,1777,1415
689,1780,1411
690,1774,1412
691,1775,1413
692,1774,1409
693,1780,1407
694,1774,1408
695,1770,1403
696,1765,1398
697,1768,1402
698,1771,1400
699,1776,1400
700,1782,1404
701,1777,1403
702,1771,1399
703,1774,1401
704,1768,1399
705,1765,1396
706,1773,1401
707,1780,1402
708,1775,1399
709,1773,1396
710,1768,1393
711,1771,1390
712,1776,1392
713,1771,1388
714,1774,1392
715,1768,1396
716,1776,1398
717,1783,1395
718,1779,1400
719,1777,1404
720,1778,1405
721,1773,1402
722,1781,1401
723,1784,1406
724,1784,1407
725,1792,1413
726,1793,1412
727,1800,1410
728,1799,1409
729,1793,1414
730,1796,1410
731,1804,1409
732,1809,1404
733,1812,1406
734,1818,1409
735,1813,1409
736,1810,1410
737,1814,1405
738,1818,1404
739,1816,1408
740,1817,1405
741,1813,1402
742,1815,1404
743,1813,1410
744,1821,1413
745,1829,1416
746,1832,1417
747,1837,1416
748,1835,1411
749,1831,1417
750,1826,1412
751,1821,1415
752,1825,1420
753,1828,1422
754,1822,1423
755,1822,1420
756,1827,1425
757,1826,1426
758,1830,1425
759,1832,1430
760,1834,1426
761,1835,1429
762,1840,1430
763,1843,1428
764,1849,1432
765,1846,1437
766,1844,1434
767,1843,1430
768,1847,1432
769,1855,1432
770,1853,1436
771,1860,1439
772,1863,1443
773,1870,1446
774,1877,1447
775,1882,1442
776,1878,1443
777,1873,1445
778,1879,1449
779,1887,1447
780,1890,1444
781,1889,1439
782,1891,1444
783,1888,1446
784,1894,1452
785,1900,1457
786,1899,1459
787,1904,1461
788,1902,1464
789,1897,1463
790,1904,1460
791,1908,1463
792,1910,1469
793,1910,1465
794,1915,1468
795,1917,1470
796,1915,1466
797,1917,1469
798,1919,1465
799,1922,1463
800,1930,1461
801,1938,1461
802,1943,1463
803,1951,1463
804,1957,1462
805,1963,1464
806,1969,1461
807,1977,1465
808,1984,1468
809,1982,1466
810,1990,1471
811,1989,1475
812,1988,1480
813,1984,1475
814,1990,1473
815,1989,1477
816,1988,1483
817,1985,1485
818,1991,1486
819,1988,1485
820,1983,1487
821,1991,1487
822,1995,1483
823,1989,1479
824,1985,1485
825,1979,1490
826,1985,1487
827,1985,1487
828,1984,1482
829,1980,1478
830,1987,1475
831,1989,1476
832,1995,1473
833,1996,1472
834,2004,1476
835,2009,1480
836,2012,1480
837,2015,1476
838,2013,1475
839,2018,1474
840,2024,1480
841,2021,1483
842,2019,1489
843,2021,1484
844,2017,1480
845,2013,1477
846,2017,1482
847,2017,1479
848,2019,1482
849,2026,1478
850,2021,1480
851,2019,1481
852,2020,1482
853,2015,1487
854,2018,1487
855,2022,1491
856,2023,1495
857,2023,1490
858,2020,1488
859,2027,1484
860,2028,1486
861,2024,1486
862,2020,1491
863,2028,1490
864,2023,1489
865,2027,1493
866,2021,1489
867,2017,1486
868,2012,1488
869,2018,1493
870,2024,1499
871,2032,1500
872,2038,1497
873,2042,1493
874,2045,1488
875,2042,1491
876,2043,1492
877,2045,1492
878,2051,1488
879,2045,1494
880,2048,1500
881,2045,1497
882,2053,1492
883,2048,1497
884,2050,1497
885,2057,1495
886,2064,1494
887,2072,1491
888,2078,1491
889,2072,1492
890,2067,1489
891,2073,1491
892,2077,1492
893,2081,1488
894,2085,1493
895,2089,1491
896,2093,1495
897,2093,1491
898,2093,1495
899,2090,1497
900,2092,1492
901,2089,1498
902,2093,1500
903,2096,1495
904,2101,1495
905,2100,1494
906,2100,1491
907,2100,1495
908,2096,1492
909,2090,1497
910,2092,1502
911,2099,1499
912,2106,1501
913,2101,1496
914,2098,1493
915,2101,1498
916,2103,1497
917,2104,1498
918,2101,1500
919,2099,1498
920,2103,1502
921,2110,1507
922,2112,1505
923,2111,1503
924,2112,1507
925,2107,1509
926,2109,1514
927,2103,1510
928,2103,1508
929,2108,1505
930,2103,1503
931,2103,1507
932,2097,1513
933,2097,1508
934,2095,1513
935,2091,1511
936,2087,1513
937,2093,1512
938,2100,1508
939,2105,1512
940,2106,1507
941,2106,1507
942,2103,1503
943,2098,1508
944,2105,1507
945,2104,1503
946,2103,1503
947,2097,1505
948,2094,1503
949,2092,1500
950,2092,1498
951,2089,1493
952,2095,1491
953,2102,1494
954,2096,1498
955,2104,1504
956,2103,1505
957,2101,1509
958,2095,1507
959,2103,1510
960,2110,1510
961,2108,1514
962,2104,1510
963,2100,1513
964,2105,1510
965,2112,1512
966,2113,1512
967,2117,1509
968,2123,1504
969,2127,1507
970,2125,1503
971,2126,1504
972,2126,1508
973,2131,1504
974,2130,1503
975,2127,1505
976,2132,1501
977,2136,1504
978,2139,1501
979,2143,1502
980,2149,1507
981,2154,1509
982,2156,1515
983,2160,1516
984,2160,1517
985,2168,1523
986,2170,1528
987,2167,1530
988,2168,1528
989,2175,1534
990,2175,1531
991,2175,1528
992,2177,1531
993,2183,1534
994,2183,1539
995,2178,1535
996,2176,1533
997,2180,1538
998,2176,1535
999,2176,1531
1000,2175,1528
1001,2177,1527
1002,2178,1530
1003,2181,1533
1004,2188,1529
1005,2196,1524
1006,2196,1521
1007,2199,1518
1008,2196,1516
1009,2192,1513
1010,2190,1516
1011,2191,1514
1012,2195,1518
1013,2202,1514
1014,2210,1516
1015,2216,1519
1016,2220,1525
1017,2223,1520
1018,2226,1522
1019,2222,1521
1020,2227,1522
1021,2229,1526
1022,2231,1528
1023,2238,1529
1024,2237,1531
1025,2237,1530
1026,2244,1535
1027,2239,1532
1028,2238,1533
1029,2234,1529
1030,2242,1524
1031,2248,1519
1032,2251,1520
1033,2246,1526
1034,2243,1528
1035,2238,1533
1036,2242,1536
1037,2237,1534
1038,2241,1540
1039,2247,1542
1040,2255,1546
1041,2261,1542
1042,2257,1542
1043,2256,1543
1044,2252,1548
1045,2252,1551
1046,2257,1547
1047,2255,1542
1048,2262,1539
1049,2263,1534
1050,2264,1534
1051,2259,1530
1052,2256,1535
1053,2262,1534
1054,2268,1531
1055,2271,1528
1056,2271,1529
1057,2267,1535
1058,2270,1537
1059,2274,1536
1060,2274,1532
1061,2273,1537
1062,2271,1534
1063,2271,1540
1064,2266,1535
1065,2265,1533
1066,2271,1530
1067,2267,1536
1068,2263,1538
1069,2265,1534
1070,2271,1535
1071,2279,1541
1072,2276,1542
1073,2278,1545
1074,2278,1548
1075,2284,1553
1076,2281,1551
1077,2289,1549
1078,2289,1553
1079,2290,1558
1080,2288,1564
1081,2296,1561
1082,2291,1564
1083,2291,1563
1084,2288,1562
1085,2282,1568
1086,2285,1565
1087,2283,1568
1088,2277,1567
1089,2274,1571
1090,2270,1577
1091,2264,1583
1092,2262,1578
1093,2268,1573
1094,2268,1571
1095,2267,1568
1096,2266,1571
1097,2263,1568
1098,2257,1573
1099,2261,1575
1100,2263,1573
1101,2264,1574
1102,2266,1579
1103,2268,1574
1104,2263,1579
1105,2257,1583
1106,2251,1584
1107,2254,1579
1108,2248,1579
1109,2252,1578
1110,2256,1584
1111,2254,1585
1112,2249,1586
1113,2256,1581
1114,2254,1579
1115,2256,1580
1116,2260,1577
1117,2264,1580
1118,2266,1577
1119,2265,1582
1120,2268,1580
1121,2262,1583
1122,2257,1578
1123,2256,1574
1124,2262,1569
1125,2257,1571
1126,2257,1576
1127,2265,1571
1128,2273,1576
1129,2274,1575
1130,2268,1577
1131,2271,1572
1132,2267,1569
1133,2261,1572
1134,2266,1577
1135,2261,1579
1136,2264,1578
1137,2265,1578
1138,2259,1583
1139,2253,1579
1140,2250,1574
1141,2244,1579
1142,2244,1575
1143,2243,1572
1144,2239,1578
1145,2245,1584
1146,2249,1585
1147,2247,1587
1148,2242,1588
1149,2244,1587
1150,2248,1583
1151,2253,1578
1152,2250,1581
1153,2257,1586
1154,2258,1584
1155,2253,1588
1156,2256,1591
1157,2259,1597
1158,2258,1596
1159,2256,1591
1160,2251,1587
1161,2246,1587
1162,2246,1592
1163,2252,1596
1164,2252,1598
1165,2248,1600
1166,2255,1603
1167,2260,1606
1168,2257,1609
1169,2260,1604
1170,2254,1599
1171,2261,1598
1172,2261,1599
1173,2255,1595
1174,2263,1592
1175,2260,1595
1176,2260,1600
1177,2254,1603
1178,2250,1604
1179,2255,1609
1180,2259,1608
1181,2259,1609
1182,2264,1608
1183,2263,1612
1184,2267,1618
1185,2275,1613
1186,2279,1612
1187,2278,1614
1188,2283,1611
1189,2283,1608
1190,2282,1603
1191,2282,1598
1192,2282,1598
1193,2287,1602
1194,2289,1598
1195,2292,1602
1196,2299,1598
1197,2307,1599
1198,2308,1597
1199,2309,1594
1200,2307,1598
1201,2308,1594
1202,2307,1590
1203,2305,1585
1204,2310,1582
1205,2311,1582
1206,2313,1577
1207,2320,1572
1208,2318,1574
1209,2325,1574
1210,2324,1580
1211,2322,1586
1212,2317,1586
1213,2320,1592
1214,2314,1588
1215,2317,1592
1216,2325,1595
1217,2331,1601
1218,2329,1605
1219,2325,1609
1220,2327,1612
1221,2333,1607
1222,2332,1611
1223,2330,1610
1224,2325,1606
1225,2326,1607
1226,2325,1609
1227,2321,1605
1228,2326,1611
1229,2324,1613
1230,2321,1617
1231,2328,1621
1232,2331,1616
1233,2328,1618
1234,2325,1624
1235,2323,1619
1236,2326,1621
1237,2325,1624
1238,2321,1622
1239,2328,1621
1240,2325,1617
1241,2319,1612
1242,2318,1612
1243,2317,1607
1244,2323,1607
1245,2330,1612
1246,2325,1608
1247,2331,1610
1248,2336,1610
1249,2337,1609
1250,2345,1606
1251,2353,1610
1252,2358,1610
1253,2365,1607
1254,2368,1602
1255,2364,1604
1256,2365,1607
1257,2372,1609
1258,2370,1606
1259,2375,1605
1260,2377,1603
1261,2382,1608
1262,2377,1614
1263,2381,1612
1264,2385,1614
1265,2389,1611
1266,2389,1612
1267,2388,1616
1268,2395,1616
1269,2391,1619
1270,2398,1621
1271,2398,1627
1272,2402,1627
1273,2406,1629
1274,2400,1634
1275,2395,1636
1276,2398,1631
1277,2397,1627
1278,2399,1631
1279,2393,1629
1280,2401,1627
1281,2395,1623
1282,2389,1619
1283,2389,1624
1284,2393,1629
1285,2390,1630
1286,2395,1632
1287,2394,1627
1288,2398,1624
1289,2393,1619
1290,2399,1619
1291,2400,1614
1292,2395,1617
1293,2392,1623
1294,2391,1629
1295,2393,1631
1296,2396,1634
1297,2394,1629
1298,2397,1633
1299,2392,1639
1300,2398,1639
1301,2402,1636
1302,2405,1639
1303,2406,1635
1304,2400,1631
1305,2397,1635
1306,2392,1635
1307,2395,1637
1308,2393,1638
1309,2390,1642
1310,2393,1643
1311,2390,1638
1312,2388,1643
1313,2389,1640
1314,2388,1643
1315,2389,1639
1316,2394,1638
1317,2399,1642
1318,2396,1647
1319,2395,1652
1320,2390,1651
1321,2388,1656
1322,2396,1662
1323,2392,1660
1324,2393,1662
1325,2391,1662
1326,2385,1664
1327,2393,1667
1328,2395,1666
1329,2389,1667
1330,2389,1664
1331,2393,1665
1332,2401,1666
1333,2405,1664
1334,2404,1668
1335,2399,1668
1336,2394,1663
1337,2397,1667
1338,2400,1664
1339,2402,1667
1340,2408,1671
1341,2409,1668
1342,2403,1672
1343,2399,1673
1344,2400,1669
1345,2399,1670
1346,2406,1669
1347,2410,1675
1348,2416,1679
1349,2422,1680
1350,2425,1679
1351,2433,1684
1352,2433,1683
1353,2433,1680
1354,2432,1679
1355,2434,1675
1356,2429,1676
1357,2425,1673
1358,2430,1672
1359,2433,1674
1360,2438,1670
1361,2436,1673
1362,2443,1673
1363,2437,1675
1364,2438,1670
1365,2435,1674
1366,2431,1674
1367,2434,1678
1368,2428,1677
1369,2429,1678
1370,2430,1681
1371,2433,1676
1372,2434,1673
1373,2438,1669
1374,2439,1674
1375,2439,1672
1376,2445,1678
1377,2442,1680
1378,2444,1677
1379,2443,1672
1380,2451,1675
1381,2457,1676
1382,2461,1678
1383,2469,1679
1384,2477,1674
1385,2471,1679
1386,2470,1683
1387,2472,1688
1388,2470,1686
1389,2477,1692
1390,2477,1697
1391,2474,1698
1392,2481,1700
1393,2488,1701
1394,2489,1700
1395,2496,1703
1396,2503,1704
1397,2505,1710
1398,2506,1713
1399,2504,1715
1400,2511,1714
1401,2505,1718
1402,2512,1713
1403,2510,1716
1404,2515,1721
1405,2518,1721
1406,2517,1727
1407,2517,1732
1408,2525,1733
1409,2525,1733
1410,2525,1730
1411,2524,1734
1412,2523,1730
1413,2527,1728
1414,2521,1730
1415,2526,1732
1416,2528,1736
1417,2529,1740
1418,2530,1737
1419,2534,1740
1420,2540,1742
1421,2544,1741
1422,2543,1743
1423,2542,1746
1424,2539,1742
1425,2534,1742
1426,2542,1745
1427,2549,1748
1428,2546,1751
1429,2553,1751
1430,2556,1746
1431,2553,1749
1432,2558,1751
1433,2553,1754
1434,2560,1749
1435,2554,1744
1436,2552,1745
1437,2560,1746
1438,2554,1742
1439,2555,1742
1440,2551,1747
1441,2559,1753
1442,2557,1757
1443,2551,1762
1444,2554,1760
1445,2553,1765
1446,2557,1764
1447,2563,1766
1448,2561,1770
1449,2561,1769
1450,2558,1764
1451,2553,1762
1452,2559,1757
1453,2562,1754
1454,2563,1755
1455,2559,1750
1456,2563,1753
1457,2559,1757
1458,2561,1758
1459,2564,1755
1460,2561,1756
1461,2557,1761
1462,2551,1762
1463,2551,1765
1464,2558,1761
1465,2560,1764
1466,2554,1762
1467,2558,1761
1468,2554,1765
1469,2548,1760
1470,2544,1766
1471,2545,1770
1472,2541,1772
1473,2545,1774
1474,2539,1771
1475,2533,1766
1476,2527,1762
1477,2527,1766
1478,2535,1769
1479,2543,1772
1480,2537,1774
1481,2540,1769
1482,2542,1766
1483,2536,1770
1484,2531,1773
1485,2532,1769
1486,2529,1767
1487,2534,1767
1488,2537,1770
1489,2536,1766
1490,2538,1767
1491,2538,1768
1492,2536,1768
1493,2542,1773
1494,2546,1768
1495,2548,1763
1496,2549,1764
1497,2553,1760
1498,2550,1757
1499,2558,1753
1500,2562,1756
1501,2562,1756
1502,2562,1756
1503,2566,1756
1504,2562,1760
1505,2557,1761
1506,2555,1760
1507,2551,1758
1508,2551,1764
1509,2558,1764
1510,2552,1769
1511,2555,1771
1512,2559,1775
1513,2559,1776
1514,2557,1778
1515,2558,1784
1516,2557,1783
1517,2555,1778
1518,2551,1782
1519,2558,1782
1520,2566,1780
1521,2573,1783
1522,2573,1784
1523,2569,1779
1524,2572,1776
1525,2577,1773
1526,2583,1777
1527,2578,1782
1528,2574,1780
1529,2571,1777
1530,2579,1777
1531,2587,1775
1532,2584,1780
1533,2589,1784
1534,2595,1783
1535,2591,1788
1536,2595,1788
1537,2599,1791
1538,2601,1796
1539,2607,1797
1540,2603,1793
1541,2609,1799
1542,2607,1795
1543,2611,1791
1544,2610,1793
1545,2611,1796
1546,2611,1800
1547,2605,1797
1548,2600,1793
1549,2600,1788
1550,2606,1786
1551,2604,1790
1552,2599,1791
1553,2596,1791
1554,2598,1791
1555,2594,1791
1556,2601,1793
1557,2597,1795
1558,2593,1797
1559,2593,1802
1560,2588,1805
1561,2587,1802
1562,2587,1806
1563,2591,1803
1564,2586,1800
1565,2584,1802
1566,2580,1806
1567,2578,1802
1568,2576,1806
1569,2573,1802
1570,2576,1800
1571,2582,1805
1572,2584,1810
1573,2579,1815
1574,2580,1816
1575,2588,1820
1576,2582,1825
1577,2583,1821
1578,2584,1826
1579,2583,1831
1580,2577,1828
1581,2573,1826
1582,2572,1828
1583,2575,1826
1584,2583,1831
1585,2589,1835
1586,2585,1833
1587,2582,1828
1588,2583,1824
1589,2585,1830
1590,2583,1829
1591,2587,1829
1592,2590,1825
1593,2584,1821
1594,2585,1825
1595,2582,1820
1596,2576,1822
1597,2570,1822
1598,2577,1817
1599,2576,1815
1600,2584,1810
1601,2587,1809
1602,2587,1812
1603,2592,1812
1604,2587,1807
1605,2587,1811
1606,2585,1808
1607,2589,1814
1608,2594,1817
1609,2600,1818
1610,2604,1818
1611,2601,1814
1612,2600,1814
1613,2598,1817
1614,2604,1821
1615,2598,1816
1616,2601,1821
1617,2608,1825
1618,2604,1830
1619,2604,1836
1620,2600,1841
1621,2596,1838
1622,2592,1843
1623,2597,1848
1624,2593,1847
1625,2600,1848
1626,2598,1847
1627,2598,1852
1628,2603,1858
1629,2606,1858
1630,2610,1855
1631,2611,1859
1632,2618,1863
1633,2623,1858
1634,2621,1864
1635,2624,1862
1636,2631,1857
1637,2632,1860
1638,2640,1856
1639,2637,1852
1640,2642,1856
1641,2638,1856
1642,2644,1856
1643,2648,1854
1644,2652,1860
1645,2660,1862
1646,2662,1864
1647,2661,1866
1648,2666,1867
1649,2671,1870
1650,2675,1871
1651,2670,1866
1652,2667,1862
1653,2673,1862
1654,2672,1864
1655,2666,1862
1656,2663,1862
1657,2657,1865
1658,2651,1866
1659,2651,1866
1660,2655,1869
1661,2662,1867
1662,2667,1872
1663,2668,1878
1664,2675,1884
